iter	Logloss
0	0.6554815674
1	0.6270767212
2	0.6024798203
3	0.5836887741
4	0.5707938004
5	0.5588510132
6	0.5505142975
7	0.5445695496
8	0.5378894043
9	0.5327186584
10	0.5279363251
11	0.5247679138
12	0.5212119293
13	0.5175304413
14	0.5148500443
15	0.5132570648
16	0.5112016296
17	0.5100184631
18	0.5081440735
19	0.5068861389
20	0.5056665039
21	0.5049134445
22	0.5040170288
23	0.5033713913
24	0.5025821686
25	0.5017001343
26	0.4996940613
27	0.498637619
28	0.4980224228
29	0.496908226
30	0.49599823
31	0.4947774506
32	0.4934920883
33	0.492961731
34	0.4925086975
35	0.4912197876
36	0.4903705597
37	0.4892370224
38	0.4886400604
39	0.4874931335
40	0.487025032
41	0.4863137054
42	0.4853918839
43	0.4848707199
44	0.484428215
45	0.4843837738
46	0.4841701508
47	0.483792305
48	0.4834381104
49	0.4828938293
50	0.4819554901
51	0.4816217041
52	0.4809511185
53	0.4798659134
54	0.4790960693
55	0.4787137604
56	0.4782880402
57	0.4779880524
58	0.4774995041
59	0.4766820526
60	0.4762705231
61	0.4752514648
62	0.4743443298
63	0.4738048172
64	0.4729295349
65	0.4721771622
66	0.4714574432
67	0.4709603882
68	0.4703649902
69	0.4700593567
70	0.4690351868
71	0.4678898239
72	0.4673078156
73	0.4663925552
74	0.4653045654
75	0.4641028214
76	0.4636042023
77	0.4626760483
78	0.4620674896
79	0.461182785
80	0.4595231628
81	0.4586994171
82	0.458165741
83	0.457672081
84	0.457038002
85	0.4560917664
86	0.45536129
87	0.454300766
88	0.4529536438
89	0.4519765472
90	0.451377449
91	0.450186615
92	0.4493027496
93	0.4484832764
94	0.4479028702
95	0.4466308212
96	0.4460702515
97	0.4450634766
98	0.4443218994
99	0.443739624
100	0.442832756
101	0.4425269318
102	0.4413583755
103	0.4404821014
104	0.4398256683
105	0.438574028
106	0.4379373932
107	0.4370833588
108	0.436907196
109	0.4362151337
110	0.4352027512
111	0.434587326
112	0.4341566467
113	0.4334492493
114	0.4329006195
115	0.4320442581
116	0.4316897202
117	0.4311514282
118	0.4306483459
119	0.4297285461
120	0.4289128876
121	0.4284801483
122	0.4274623108
123	0.4267892456
124	0.4264511871
125	0.4257065201
126	0.425346756
127	0.4247594833
128	0.4239730072
129	0.423417244
130	0.4229294586
131	0.422578392
132	0.4220652008
133	0.4213378143
134	0.4206454468
135	0.4198620605
136	0.4191719437
137	0.4186408234
138	0.4180268097
139	0.4174663544
140	0.4170030975
141	0.4165276337
142	0.4156468201
143	0.4151199722
144	0.4144436264
145	0.4138052368
146	0.4130344009
147	0.4123619843
148	0.4119955826
149	0.411345787
150	0.4094559479
151	0.4088500214
152	0.4083233261
153	0.4074324036
154	0.4070190811
155	0.4066864014
156	0.4065442276
157	0.4058063126
158	0.4051868439
159	0.4047729492
160	0.4042737579
161	0.4037998199
162	0.403250351
163	0.4029852676
164	0.4022940445
165	0.4019907379
166	0.4016653061
167	0.401281929
168	0.4008509064
169	0.4005416107
170	0.4004059601
171	0.4001383591
172	0.3996379089
173	0.3994212341
174	0.3992437744
175	0.3987932587
176	0.3982723236
177	0.3977661896
178	0.3976140594
179	0.3972082901
180	0.3963679504
181	0.39584095
182	0.3947614288
183	0.3940452576
184	0.3937496185
185	0.393407135
186	0.3929483032
187	0.3923435974
188	0.3919816971
189	0.3913356781
190	0.3909253693
191	0.3907010269
192	0.3901768875
193	0.3900061798
194	0.3895348358
195	0.3885483551
196	0.3880886078
197	0.3876568604
198	0.38722229
199	0.3866848755
